RUN	examples.performance.StatusTest	statustest	1660618066933	 	3.7.4
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076856	1660618076863	OK	 
USER	Get Application Status	END	1660618076864
USER	Get Application Status	START	1660618076892
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076900	1660618076906	OK	 
USER	Get Application Status	END	1660618076907
USER	Get Application Status	START	1660618076924
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076932	1660618076938	OK	 
USER	Get Application Status	END	1660618076938
USER	Get Application Status	START	1660618076956
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076963	1660618076969	OK	 
USER	Get Application Status	END	1660618076970
USER	Get Application Status	START	1660618076988
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076995	1660618077002	OK	 
USER	Get Application Status	END	1660618077002
USER	Get Application Status	START	1660618077019
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618077026	1660618077032	OK	 
